Game_#/Total_Games:winner,result,timestep_score,reason,model_epsilon_value
282/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.05396311320431887
283/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.05342348207227568
284/1000:None,1/2-1/2,36,Termination.FIVEFOLD_REPETITION,0.052889247251552922
285/1000:None,1/2-1/2,54,Termination.FIVEFOLD_REPETITION,0.052360354779037392
286/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.05183675123124702
287/1000:None,1/2-1/2,42,Termination.FIVEFOLD_REPETITION,0.05131838371893455
288/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.05080519988174521
289/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.05029714788292775
290/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04979417640409847
291/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04929623464005749
292/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04880327229365691
293/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04831523957072034
294/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04783208717501314
295/1000:None,1/2-1/2,46,Termination.FIVEFOLD_REPETITION,0.04735376630326300
296/1000:None,1/2-1/2,33,Termination.FIVEFOLD_REPETITION,0.04688022864023037
297/1000:None,1/2-1/2,26,Termination.FIVEFOLD_REPETITION,0.04641142635382807
298/1000:None,1/2-1/2,32,Termination.FIVEFOLD_REPETITION,0.04594731209028979
299/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04548783896938688
300/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04503296057969302
301/1000:None,1/2-1/2,23,Termination.FIVEFOLD_REPETITION,0.04458263097389609
302/1000:None,1/2-1/2,25,Termination.FIVEFOLD_REPETITION,0.04413680466415713
303/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04369543661751556
304/1000:None,1/2-1/2,29,Termination.FIVEFOLD_REPETITION,0.0432584822513404
305/1000:None,1/2-1/2,41,Termination.FIVEFOLD_REPETITION,0.04282589742882699
306/1000:None,1/2-1/2,50,Termination.FIVEFOLD_REPETITION,0.04239763845453873
307/1000:None,1/2-1/2,53,Termination.FIVEFOLD_REPETITION,0.04197366206999334
308/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.04155392544929341
309/1000:None,1/2-1/2,38,Termination.FIVEFOLD_REPETITION,0.04113838619480047
310/1000:None,1/2-1/2,58,Termination.FIVEFOLD_REPETITION,0.04072700233285246
311/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.04031973230952394
312/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0399165349864287
313/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.03951736963656441
314/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.03912219594019876
315/1000:None,1/2-1/2,28,Termination.FIVEFOLD_REPETITION,0.03873097398079678
316/1000:None,1/2-1/2,48,Termination.FIVEFOLD_REPETITION,0.03834366424098881
317/1000:None,1/2-1/2,42,Termination.FIVEFOLD_REPETITION,0.03796022759857892
318/1000:None,1/2-1/2,43,Termination.FIVEFOLD_REPETITION,0.03758062532259313
319/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0372048190693672
320/1000:None,1/2-1/2,24,Termination.FIVEFOLD_REPETITION,0.03683277087867353
321/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.0364644431698868
322/1000:None,1/2-1/2,27,Termination.FIVEFOLD_REPETITION,0.03609979873818793
323/1000:None,1/2-1/2,39,Termination.FIVEFOLD_REPETITION,0.03573880075080605
324/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03538141274329799
325/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03502759861586500
326/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03467732262970635
327/1000:None,1/2-1/2,22,Termination.FIVEFOLD_REPETITION,0.03433054940340929
